title,text,label
WHY THESE TWO “TOP TIER” GOP CANDIDATES Were Axed From FOX News Presidential Debate,"We can think of two candidates who have no business being on that stage. We d love to know who made this decision They ll be fewer candidates on the main stage at next week s Fox Business Network Republican debate in Milwaukee as both Chris Christie and Mike Huckabee have been told to take their seats at the kids  table.That leaves just eight candidates on the main stage   including frontrunners Donald Trump and Ben Carson, and also Sen. Rand Paul, who many predicted would suffer Christie s undercard debate fate.Next week s undercard debate will again feature four candidates   but with the addition of Christie and Huckabee, that means Lindsey Graham and George Pataki both got pushed out.The debate line-up was announced tonight on Lou Dobbs  show on Fox Business Network.Besides Trump, Carson and Paul, Sens. Ted Cruz and Marco Rubio, Govs. Jeb Bush and John Kasich and business executive Carly Fiorina round out the line-up.For the undercard debate, Bobby Jindal and Rick Santorum remain in their places on stage.So far only one candidate has managed to climb out of the undercard debates, Fiorina, who spent the August Fox News debate at the kids  table and was hoisted onto the mainstage by CNN, after the network tinkered with its rules.One undercard candidate dropped out, Texas Gov. Rick Perry, who was the first candidate to pull the plug on his 2016 ambitions having only appeared at the Fox News undercard debate.Since CNN s September debate in Simi Valley, California, the junior varsity squad has had the same roster: Graham, Santorum, Jindal and Pataki. Via: UK Daily Mail ",fake
 BREAKING: Trump Buildings Go On Lockdown As THOUSANDS Protest Trump’s Electoral Victory (VIDEOS),"Across the nation, thousands of upset American citizens are protesting Donald Trump s victory in the 2016 presidential election. Despite losing the popular vote, the deeply disliked candidate is poised to be the next President of the United States, and people aren t happy. Security teams and barricades have been deployed at various Trump properties as fear of damage escalates. Hundreds of people have gathered outside of his Chicago and New York buildings, and protests are happening in major cities from Oregon to Massechusetts.Dozens of other protests have also happened, centered at universities around the nation.Flags have been reported to be burned during protests in Portland, Oregon, with protestors marching and chanting  fuck Donald Trump!  The Mirror reports that  People also burned an effigy of the President-elect, who will be officially sworn into office in January. As they go on to report, the protests aren t just domestic   hundreds also gathered to protest the American embassy in London, as further evidence of the divide we have driven between us and our allies with this disasterous election.In Chicago, New York, DC, San Francisco, Seattle, Oakland, Philadelphia and elsewhere, live protests are happening right now. Various clips can be seen below.Trump Tower:San Francisco:Protestors chanting:  Racist, sexist, anti-gay, Donald Trump go away  pic.twitter.com/6PQu5waZ0p  Nicole Nguyen (@itsnicolenguyen) November 10, 2016DC:Right now at the Trump Hotel in our Nation s capital. Shame on him. #election2016 #werestillwithher pic.twitter.com/pS6svMHPR3  daphne kiplinger (@daphnekiplinger) November 10, 2016The Guardian has live updates on the ongoing protests, and this article will be updated periodically.Featured image by Spencer Platt/Getty Images",fake
REVEALED: HOW BARACK OBAMA IS FUNDING The “Resistance” Movement Against President Trump,"Wall Street might be shocked to learn it is helping bankroll the anti-Trump  resistance  movement that s aggressively fighting policies it favors   including corporate tax cuts and the repeal of Obama-era banking and health-care regulations.The payola is potentially earmarked for third-party interest groups approved by the Justice Department and HUD without requiring any proof of how the funds will be spent. Many of the recipients so far are radical leftist organizations who solicited the settlement cash from the administration even though they were not parties to the lawsuits, records show. During the Obama administration, groups committed to  revolutionary social change  sent proposals and met with high-level HUD and Justice Department officials to try to get their pieces of the settlement pie,  Cause of Action Institute vice president Julie Smith told The Post.Some of the chosen beneficiaries are now actively militating against the Trump administration and its policies, including:The Hispanic-rights group strenuously protested the Republican-led  skinny  repeal of the Affordable Care Act after receiving at least $1.5 million from the Obama regime s bank settlement funds, congressional researchers say.La Raza works closely with the Congressional Hispanic Caucus and has teamed up with the anti-Trump resistance group, Indivisible, which was co-founded by La Raza alumnus Angel Padilla. Indivisible is working with La Raza and its affiliates to make sure  any bill that punishes sanctuary cities never goes to Trump s desk to become law.  They are encouraging activists to send postcards with pre-printed messages on immigration and health care to moderate GOP senators.NATIONAL URBAN LEAGUEAfter receiving at least $1.2 million from the bank-settlement slush fund, the African-American advocacy group solicited its supporters to oppose efforts to repeal ObamaCare by signing a letter to senators arguing  African-Americans stand to be disproportionately impacted.  It claimed more than 5 million black people would lose coverage under repeal legislation.NATIONAL COMMUNITY REINVESTMENT COALITIONSince hauling in at least $2.6 million in funds under settlement in the Obama-era mortgage suits, the liberal housing-rights group has slammed tax-reform proposals by the Trump administration as unfair, while trying to block efforts to privatize mortgage giants Fannie Mae and Freddie Mac, claiming doing so would  deepen the racial wealth gap. NCRC is also actively lobbying against regulatory repeal of many provisions of the Dodd-Frank Wall Street Reform and Consumer Protection Act.The Washington-based group boasts more than 600 member organizations who lobby lawmakers through list-serves, mailings, sign-on letters and conference calls. Though it s assumed that funds distributed to such  qualified organizations  will be used for housing assistance, the bank-settlement agreements do not enforce how the funds are spent. It stands to reason that some of the settlement funds have helped bankroll the resistance  bent on stopping the Trump agenda for America, Competitive Enterprise Institute senior fellow John Berlau said.It s not clear how much money, in all, has been diverted from settlement funds to these and other left-wing organizations. Attorney General Jeff Sessions has ordered a full audit of the funds while discontinuing the practice of funneling Justice Department settlements to third-party groups. Any settlement funds should go first to the victims and then to the American people [through the US Treasury]   not to bankroll third-party special interest groups or the political friends of whoever is in power,  Sessions said in a recent statement.Still, The Post has learned that the Consumer Financial Protection Bureau continues to force financial institutions it prosecutes to donate to third-party community organizers. More, penalties in such cases are deposited into the Bureau s now-$170 million-plus Civil Penalty Fund, which has, in turn, channeled almost $30 million to  consumer advocacy  groups.For entire story: NYP ",fake
" STUPID Trump Fans Think He Won The Popular Vote, But He Lost By A HUGE Margin (TWEETS)","As we unfortunately learned during the presidential campaign, Donald Trump s biggest fans love to tell themselves HUGE lies, and then they pass those lies back and forth to each other and actually believe them, no matter how insane those lies happen to be.The biggest one to hit since Election Day is the complete and utter lie that Trump won the popular vote in addition to his electoral college win. Check out some of the Trump supporters who are fooling themselves:Final #Election2016 Results By Numbers:-  #PopularVote #electoralvotes pic.twitter.com/uKZevQvPfK  Michael (@Koxinga8) November 12, 2016Final #Election2016 numbers #PopularVote:#Trump: 62,972,226 #Clinton: 62,277,750 #ElectoralCollege vote #Trump 306 #Clinton 232  Lucid Hurricane  (@LucidHuricane) November 12, 2016Trump won the popular vote too. Now the liberals have nothing to cry about (they will anyways.) #TrumpRiotsDonate @ https://t.co/AGuHKH0S7K pic.twitter.com/71eIwMjtOA  Bikers 4 Trump (@Bikers4Trump) November 12, 2016Sorry libs! Trump just won the popular vote and the electoral vote after the recounts! https://t.co/vKIev9ltmx #TrumpRiots #TrumpRevolution pic.twitter.com/LIytjEQ6BB  Lori Hendry (@Lrihendry) November 12, 2016But in reality, despite losing the electoral college, Hillary Clinton will have a substantial popular vote win over Trump when all the votes are eventually counted.Hillary Clinton not only won the popular vote in Tuesday s election. It is now clear that she won it by a margin larger than two candidates who went on to win the presidency.David Leonhardt, a columnist for The New York Times, noted on Friday that with a 1.7-percentage-point popular vote lead over Donald Trump,Clinton will have a larger margin of victory than Richard Nixon had over Hubert Humphrey in 1968 or John F. Kennedy had over Nixon in 1960. (Her edge is also larger than Al Gore s popular vote victory over George W. Bush in 2000, though he too was stymied by an electoral college loss.)In raw numbers, that amounts to an edge of roughly 1.8 million votes as of Saturday.The election is decided by the electoral college, not the popular vote, so Trump will be sworn in to the presidency. But it s telling that even in victory, Trump s supporters must lie to themselves and each other with these completely made up stories. It shows that, despite the claim that the left is in a  bubble  on the coasts, the Trump supporters are the ones who have sealed themselves off from the real world where 2 is always bigger than 1.Featured image via Flickr",fake
 Trump’s National Security Adviser Thinks Obama Was Right About Terrorism All Along,"Donald Trump s new national security adviser thinks former-President Obama was right all along, at least when it comes to his stance on terrorism.HR McMaster, the respected army lieutenant general Trump chose to replace Michael Flynn after he resigned, told White House staff at a meeting on Thursday that he does not want to use the term radical Islamic terrorism.  You know, what Obama has been saying for years.The Guardian reports: A participant, paraphrasing McMaster, said:  He said he doesn t want to call it radical Islamic terrorism because the terrorists are, quote,  un-Islamic . McMaster, the participant said, indicated that the phrase castigates  an entire religion  and  he s not on board .At the meeting, multiple sources said, McMaster discomfited White House staffers who view the terrorist threat in those religious terms and who were said to have exchanged awkward looks with each other.Participants who attended the meeting said they were shocked by how different McMaster s views are from those of Trump, who has dropped the phrase  radical Islamic terrorism  at any chance he got.During the meeting, McMaster also let it be known that he disagrees with Trump on several other points as well. He reportedly  laid out a vigorous defense of the post-second world war liberal order, calling it a guarantor of peace and economic prosperity.  Trump, on the other hand, has attacked these same longstanding foreign-policy goals repeatedly.McMaster also took a stance on Russia that is the polar opposite of his Putin loving boss.  One source said McMaster was  very clear  that he viewed Russia  as an adversary,'  the Guardian reports.Trump chose McMaster as his new national security adviser after Flynn was forced to resign when it was revealed that he had told the Russian ambassador not to worry about sanctions during a phone call that took place before Trump was sworn in.Thanks to Trump s Islamophobic policies, at least one prominent NSC staffer has already resigned. Rumana Ahmed, who worked on strategic communications, stepped down after Trump issued his Muslim ban. She said his  radical Islamic terrorism  rhetoric is really no different from the rhetoric of ISIS.Many who attended the meeting were relieved that McMasters doesn t seem to be a complete crazy person when it comes to foreign policy, but they have no idea how that will  work in context with the rest of the White House .Featured image via video screen capture",fake
 It’s Official: #Brexit Has Made The U.K. As Racist As Donald Trump Has Made Us (TWEETS),"A few days ago, Great Britain voted to walk off a cliff by leaving the European Union, sending the world into a frenzy. Parliament still has to ratify the vote, so it s not a binding resolution (yet), however, it has already had some terrible effects on the U.K. Since the vote, the rate of blatant racism and hate crimes has skyrocketed over there. Brexit turned the U.K. into what we ve become here, thanks to the rise of Donald Trump.What s sad is that, according to The Independent, many of the perpetrators of these crimes cite the  leave  vote as a reason for their crimes, because that totally makes it okay. Yet, the victims of those crimes aren t just immigrants   many of them are people who were born in the U.K., but don t look sufficiently  domestic  for the xenophobic white supremacists that have taken over the country.Sound familiar? It s because we have that problem here, thanks to Trump and his xenophobic, white supremacist followers. Just look at what CBS reporter Sopan Deb goes through while covering His Royal Racist. He s repeatedly asked if he works for ISIS, and is frequently the target of Islamophobic remarks from Trump s loyal fans. He was also assaulted by cops at Trump s cancelled rally in Chicago.Social media is abuzz with this. There s a photo album on Facebook, called Worrying Signs, that contains well over 100 instances of people talking about racist encounters, or witnessing that racism happen to someone else. Below is a sampling of tweets that show what s happening across the pond:Man s t-shirt reads  Welcome to Britain now fit in or f*ck off . Tells me he s got his  country back.  Ciaran Jenkins (@C4Ciaran) June 25, 2016  It s to stop Muslims coming into this country. Simple as that.  #Brexit #c4news pic.twitter.com/bFiAVXTtdt  Ciaran Jenkins (@C4Ciaran) June 24, 2016Man: There s too many foreigners in this country, none of them work. Me: 78% of them work. Man: Well if they re in work good luck to them.  Ciaran Jenkins (@C4Ciaran) June 24, 2016 Been standing here five minutes. Three different people have shouted  send them home . pic.twitter.com/cVvmYvC73o  Ciaran Jenkins (@C4Ciaran) June 24, 2016Gloucester @Tesco:  this is England, foreigners have 48 hours to f**k right off. Who is foreign here? Anyone foreign?  #Brexit  Max Fras (@fullofeels) June 24, 2016 Silence from all the political parties in face of a spike of racist and xenophobic abuse is an absolute fucking disgrace. Shame shame shame  M4-T (@MatofKilburnia) June 26, 2016Some Polish workers interviewed on #Brexit by @BBCLookNorth did not want their faces to be shown for fear of reprisals. New-look #UK.  David Head (@DavidHeadViews) June 24, 2016 So less than 20 hrs after Brexit results announced, I have the pleasure of being called  a Paki c*nt in a suit  by a homeless man.  Banking Buddha (@TheBuddhaSmiled) June 24, 2016Currently at the bus stop and a van went by with someone screaming  WHITE POWER .Hmm. #Brexit  Stephanie (@NerdAboutTown) June 24, 2016 This evening my daughter left work in Birmingham and saw group of lads corner a Muslim girl shouting  Get out, we voted leave . Awful times  Heaven Crawley (@heavencrawley) June 24, 2016Picture from Romford today. (Photo with permission from the must-follow @diamondgeezer) pic.twitter.com/tsB56jAuww  Jim Waterson (@jimwaterson) June 25, 2016 Police investigating after hateful notes were posted through letterboxes of Polish residents in Cambridgeshire following the Brexit vote.  LBC Breaking (@lbcbreaking) June 25, 2016About that emboldening of racists- I just confronted a pissed guy in the street who was shouting racist & sexist abuse at a black woman.  Tom Gann (@Tom_Gann) June 24, 2016  F*cking foreigner, go back to your country : just watched this outrageous racist incident in #Hackney https://t.co/87rqFKIhOv  Shulem Stern (@ShulemStern) June 24, 2016Italian person I was w/ last night was assaulted for asking how someone voted. Knocked out w/ a bottle, lost a tooth, stitches. I m scared.  Kirsty Allan (@kirstyrallan) June 26, 2016Here in the U.S., we have a Trump fan running for Congress who wants to  make America white again.  We have people who are just fine with Trump saying that Latinos are  illegals  who are  rapists and killers.  We have a state governor who claimed the rise of drug abuse in his state was due to guys with names like  D-Money, Smoothie, Shifty,  and said that they  impregnate a young white girl before they leave.  He replied to criticism with,  Race is irrelevant. Trump didn t create these problems, his rise just made it okay to be a racist pig in the open, and claim that anyone who s offended is just trying to force  political correctness  on them. And so it is with the U.K., where the Brexit movement made it okay to be openly racist towards immigrants again.We hope these people the ones who spurred this xenophobic outrage by painting anyone who isn t a white, British native as one of their main problems are proud of themselves.Featured image by Christopher Furlong/Getty Images",fake
"IF JOE BIDEN DECIDES TO RUN FOR PRESIDENT, THIS VIDEO SHOULD BE MANDATORY VIEWING",Here s Biden chuckling and grinning while debating the Iran sanctions   the arrogance runs deep on this one. ,fake
TRUMP POISED TO REVERSE OBAMA’S Politicized “Global Warming” Policies…Plans To Bring Energy Jobs Back To Americans,"The President who shoved his radical agenda down the throats of Americans is about to watch his legacy unwind in favor of jobs and a stronger economy  President Obama s eight-year effort to rein in the energy and mining industries with environmental regulations will likely come to a halt under President-elect Donald Trump, who is poised to green-light key job-creating projects from the Atlantic Coast to Alaska.With the election of Donald Trump   and a transition team that includes GOP energy lobbyist Mike McKenna and outspoken climate change skeptic Myron Ebell   both sides now see their fortunes reversing amid Trump s promise to rescind Obama s signature Clean Power Plan and jump-start oil, and natural gas projects. I think 80 percent of President Obama s policies will be reversed very soon after Trump moves into the White House,  Robert McNally, the president of the Rapidan Group, the energy consulting firm, and former official in the George W. Bush administration, told FoxNews.com.  The Trump administration will reverse the global warming principles enacted under Obama and he will stop the politicization of infrastructure. This will definitely spur on the growth of the oil and gas industries. Here are three projects that could be revived soon after Trump takes office in January:Keystone XL PipelineOne of the biggest environmental flashpoints of Obama s presidency, the pipeline s final phase   which would create a shorter route for American and Canadian crude oil coming from Alberta to Nebraska   was rejected by Obama for not serving  the national interests of the United States. Keystone XL faced stiff opposition from environmental groups and a minority of U.S. lawmakers amid concerns of oil spills in highly sensitive ecological terrain and worries from the Environmental Protection Agency about large increases in greenhouse gas emissions from Alberta s carbon intensive oil sands.Throughout his campaign Trump vowed to  immediately approve the Keystone XL pipeline    adding he believed it would have no environmental impact and would create hundreds of jobs   and Senate Majority Leader Mitch McConnell of Kentucky is already pressing the president-elect to make it a priority in his first 100 days.If I am elected President I will immediately approve the Keystone XL pipeline. No impact on environment & lots of jobs for U.S.  Donald J. Trump (@realDonaldTrump) August 18, 2015Reviving CoalCoal production has been on the wane for a number of years as Americans move toward cheaper, cleaner alternatives like natural gas and the industry struggles to cope with tighter environmental regulations imposed by the Obama administration.Saving the coal industry is part of Trump s 100-day action plan and, although he has not given any specifics so far, his campaign trail promises included rescinding the EPA s Clean Power Plan and the Mercury and Air Toxics Rule.Trump s campaign promises of reviving the coal industry helped him win over voters in places like Wyoming, West Virginia and other states hard hit by declining production of the energy source. Now as he readies to enter the White House, many of the voters are looking to see when   and, maybe more importantly, how   the incoming president will fulfill that promise.Trump has not weighed in on the issue, but Sarah Palin   Alaska s former governor who is rumored to be on Trump s short list for Interior Secretary   helped ease the path for what would be one of the world s largest open pit mines by appointing mining industry officials to lead her Department of Natural Resources and embracing resource extraction.Offshore Drilling in the AtlanticThe Obama administration recently moved to restrict drilling in waters off the Eastern Seaboard from 2017 to 2022, but environmentalists, fishermen and those in the East Coast s tourism industry want to make that restriction permanent before Trump comes into office.Despite his vocal stance on U.S. energy independence and support of increased oil and gas development, Trump s stance toward offshore drilling in the Atlantic has been vague   saying only that he backs it when  done responsibly    but if he green-lights drilling in the Atlantic it would make him many friends in U.S. oil and gas companies and could open the possibility to expand drilling other U.S. waters.Obama, however, could prevent this by invoking an obscure section of the 1953 Outer Continental Shelf Act that would make it difficult, maybe impossible, for future presidents to reverse the ban. He has used the act before to safeguard parts of Alaska s Bristol Bay and parts of the Arctic. That s the big question,  David Goldston, the director of government affairs at the Natural Resources Defense Council, told FoxNews.com.  Will the Obama administration go beyond the five-year ban? While a permananet ban is still in question, late last week Obama blocked the sale of new oil and gas drilling rights in the Chukchi and Beaufort seas north of Alaska for the next five years   a move that was praised by enviromentalists and largely scorned by oil industry represenatives. Once again, we see the attitude that Washington knows best   an attitude that contributed to last week s election results,  Randall Luthi, president of the National Ocean Industries Association, told The Assocuated Press in reference to Trump s surprise victory over Democrat Hillary Clinton.  FOX News",fake
 That Time An Ohio Ammosexual 2nd Amendmented Himself In A Chik-Fil-A Bathroom,"Ammosexuals also tend to be anti-gay bigots, so it s no surprise that this particular unfortunate victim of his own love of his penis extension gun would shoot himself in the bathroom of a Chik-fil-A location.While most of us boycott the Christian chicken chain out of sheer principle, but not the 45-year-old victim of his own hubris. He was apparently pulling up his pants in the facilities of the locations (hey, even gun nut heroes have to use the john now and then, right?) when the Glock pistol went off. Luckily for the unnamed miscreant, the bullet only grazed his leg. Hardly a fatal injury, of course, but still quite unfortunate and dangerous.Local station WHOH tweeted the story, but, at this time, there is not much information. The victim was able walk out of the Chik-Fil-A location and transport himself to a local hospital for medical care. The injury is not serious, and, of course, no charges will be filed.BREAKING: Fairfield Twp police and medics say a man accidentally shot himself in the bathroom of the Chick-fil-a. pic.twitter.com/GwXHFz12MI  WMOH Newswire (@WMOHNEWSWIRE) April 28, 2015That s the real rub, though. This guy luckily only shot himself. However, how many incidences have there been of  responsible gun owners  injuring or even killing other people where the law decides that it was just an accident? Too many to count, really. This is just evidence of the fact that we need tighter laws regarding firearm ownership. Not everyone who is eligible to buy, own, and conceal carry a gun should be able to do so.This guy likely was another nutjob who couldn t bear to be anything but fully locked and loaded, even in a public restroom in a self-proclaimed family restaurant, and he was injured as a result. What about next time, though? And, believe me, there will be a next time. No one who is irresponsible enough to have an  accident  like this is a one-off shooter. In fact, if  he were any sort of normal, responsible gun owner, he d have never been pulling his pants up in a Chik-Fil-A bathroom with a fully loaded gun in the first place.Featured image via video screen capture from NY Daily News",fake
TOXIC CULTURE: ‘Suicide (Skank) Squad’ Film,"Jay Dyer 21st Century WireSuicide squad is who they call to counsel the people leaving this vapid movie.  Possibly the worst superhero film yet, it even rivals the likes of Spawn, Catwoman and Ghost Rider.  At least there was Nic Cage, but here, only a confused and garbled CGI wasteland that is as messy as the single mom tats emblazoned every scene.  Nothing in this movie makes sense, much less is the plot even coherent, as a selection of  the worst  of America s convicts are chosen to become Task Force X, a microchipped hit team to take on the  meta-humans  (X-men, yawn) and the extra-dimensional entities that possess two paper-thin characters.Side note   the film is adapted from my old essay, United Skanks of America.This film is one of the few instances I can think of where the overt propaganda is actually more interesting to spot than the film itself.  Will Smiff plays a  hitman  baby-daddy whose only concern is scoring 2 million dollars to buy his daughter s attention.  Yes, all those noble baby-daddies are really just striving for ghetto release so they can become responsible parents.  Next, a hot chick plays a psychiatrist babe-turned skank who, after falling in love with the joke that is  The Joker,  morphs into the average American skank, graffiti ed to the hilt with thug-style sleaze.  In this sense, Harley Quinn makes sense as a representation of the mental illness that plagues the young western female, as evidenced in their body-defacing obsessions and self-mutilation.Planetary sigils adorn the headdress.As Matt Forney writes:No girl has ever improved her looks with a gaudy mural injected under her skin or a piece of metal dangling from her nostrils. There s no man on Earth who has ever thought about his girlfriend or wife, Man, you know what would make her even sexier? A butterfly emblazoned just over her ass. Yet, despite this objective reality, thousands of girls continue to mutilate themselves at an astounding rate, to the point where more girls now have tattoos than men.Indeed, nothing captures the full throttle ruination of the western female than this slut character which drives the ridiculous simulacrum of a plot by seeking to be reunited with Joker Leto.  Since Grant Morrison is an open fan of Crowley, chaos magick and summoning entities through sigils, I am curious which god he offended to have the legions of suck demons inspire his advice to Leto.  That is the only explanation.The Crowleyan elements of this film are really the only noticeable  esoteric  themes, with the Joker now being apparently bi-sexual (perfect embodiment of the ruined western male), and the planetary sigils that adorn Cara Delevingne s headdress.  From here, you can divine the rip off of a rehash semblance a story   a giant garbage vortex  has opened up over a city with the intent of destroying humans who no longer worship the entities as gods.  The giant garbage vortex was actually filmed when in reality it opened up over New York the night this film premiered.Faith, the  Hillary-hero. Originally, the skank squad was formed through the machinations of Reagan (presumably based on the Latin American death squads) and now, even Obama plays a positive role in the storyline from the comic.  Indeed, comic books have long been tools of propaganda, from World War 2 Americanism to Cold War absurdity, comic books have been a staple in the establishment-promoted anti-establishment toxic culture.The sad fact, as I have been arguing for a long damn time now, is that the increase in corporate government control of entertainment realm only results in the degeneration of artistic creativity.   I can wait for the 5th version of the plot of Ghostbusters-Avengers-Ghostbusters-Suicide Squad, but can you?  Aside from this, the other amazing, little-known tidbit is that since the market for comics is generally teenagers, the script was written by a teen   how else would an ancient goddess lithely intone,  You don t have the balls! ?Nowadays, comic books are the tip of the queer spear in promoting transgender  heroes,  fat acceptance heroes that promote Hillary, and the absurd reversing of racial and gender roles (such as Thor becoming a woman and Iron Man a black girl).  The cultural degeneration and toxification is a symbiotic relationship   as the west devolves at lightning speed into a troglodyte, Morlock genetic experiment, the comic book world then comes to reflect that gluttonous, scooter-bedeviled psych ward in its  art. Since comic books now drive the film industry s big blockbuster productions, blockbuster films continue to foist the Disney-Degeneration of social justice warriors rabidly attempting to quell dissent.Meanwhile, the self-devouring ouroboros of the left is its own punishment and destruction.  In sum, don t waste your time, as it s all chaos, and no magic.  However, if you liked John Leguizamo s farting clown in spawn, you ll probably love the ebonics-speaking crocodile in this garbage.The comedy gold of the farting clown. READ MORE HOLLYWOOD NEWS AT: 21st Century Wire Hollywood FilesTo hear Jay s full podcasts, see more information and learn how you can become a subscriber to JaysAnalysis.Jay Dyer is the author of the forthcoming title, Esoteric Hollywood: Sex, Cults and Symbols in Film from Trine Day.  Focusing on film, philosophy, geopolitics and all things esoteric, JaysAnalysis and his podcast, Esoteric Hollywood, investigates the deeper meanings between the headlines, exploring the hidden aspects of our sinister synthetic mass media matrix.",fake
