articles,summaries,t5_summ,t5_precision,t5_recall,t5_f1
"S Korea spending boost to economySouth Korea will boost state spending next year in an effort to create jobs and kick start its sputtering economy.It has earmarked 100 trillion won ($96bn) for the first six months of 2005, 60% of its total annual budget. The government's main problems are ""slumping consumption and a contraction in the construction industry"". It aims to create 400,000 jobs and will focus on infrastructure and home building, as well as providing public firms with money to hire new workers.The government has set an economic growth rate target of 5% for next year and hinted that would be in danger unless it took action. ""Internal and external economic conditions are likely to remain unfavourable in 2005,"" the Finance and Economy Ministry said in a statement.It blamed ""continuing uncertainties such as fluctuating oil prices and foreign exchange rates and stagnant domestic demand that has shown few signs of a quick rebound"". In 2004, growth will be between 4.7% and 4.8%, the ministry said. Not everyone is convinced the plan will work. ""Our primary worry centres on the what we believe is the government's overly optimistic view that its front loading of the budget will be enough to turn the economy around,"" consultancy 4Cast said in a report.The problem facing South Korea is that many consumers are reeling from the effects of a credit bubble that only recently burst. Millions of South Koreans are defaulting on their credit card bills, and the country's biggest card lender has been hovering on the verge of bankruptcy for months. As part of its spending plans, the government said it will ask firms to ""roll over mortgage loans that come due in the first half of 2005"" . It also pledged to look at ways of helping families on low incomes.The government voiced concern about the effect of redundancies in the building trade. ""Given the economic spill over and employment effect in the construction sector, a sharp downturn in the construction industry could have other adverse effects,"" the ministry said.As a result, South Korea will give private companies also will be given the chance to build schools, hospitals, houses and other public buildings. It also will look at real estate tax system. Other plans on the table include promoting new industries such as bio-technology and nano-technology, as well as offering increased support to small and medium sized businesses. ""The focus will be on job creation and economic recovery, given that unfavourable domestic and global conditions are likely to dog the Korean economy in 2005,"" the ministry said.","""The focus will be on job creation and economic recovery, given that unfavourable domestic and global conditions are likely to dog the Korean economy in 2005,"" the ministry said.""Given the economic spill over and employment effect in the construction sector, a sharp downturn in the construction industry could have other adverse effects,"" the ministry said.""Internal and external economic conditions are likely to remain unfavourable in 2005,"" the Finance and Economy Ministry said in a statement.In 2004, growth will be between 4.7% and 4.8%, the ministry said.South Korea will boost state spending next year in an effort to create jobs and kick start its sputtering economy.The government has set an economic growth rate target of 5% for next year and hinted that would be in danger unless it took action.As a result, South Korea will give private companies also will be given the chance to build schools, hospitals, houses and other public buildings.As part of its spending plans, the government said it will ask firms to ""roll over mortgage loans that come due in the first half of 2005"" .",South Korea to boost spending next year to create jobs and kick start its sputtering economy - says finance minister - and warns it could be in danger,0.9005528688430786,0.829235315322876,0.8634239435195923
"Slowdown hits US factory growthUS industrial production increased for the 21st month in a row in February, but at a slower pace than in January, official figures show.The Institute for Supply Management (ISM) index fell to 55.3 in February, from an adjusted 56.4 in January. Although the index was lower than in January, the fact that it held above 50 shows continued growth in the sector. ""February was another good month in the manufacturing sector,"" said ISM survey chairman Norbert Ore.""While the overall rate of growth is slowing, the overall picture is improving as price increases and shortages are becoming less of a problem. Exports and imports remain strong,"" he said. Analysts had expected February's figure to be stronger than January's and come in at 57. Of the 20 manufacturing sectors surveyed by ISM, 13 reported growth. They included the textiles, apparel, tobacco, chemicals and transportation sectors. The ISM's index of national manufacturing activity is compiled from the responses of purchasing executives at more than 400 industrial companies.","""February was another good month in the manufacturing sector,"" said ISM survey chairman Norbert Ore.  ""While the overall rate of growth is slowing, the overall picture is improving as price increases and shortages are becoming less of a problem.Although the index was lower than in January, the fact that it held above 50 shows continued growth in the sector.Of the 20 manufacturing sectors surveyed by ISM, 13 reported growth.The Institute for Supply Management (ISM) index fell to 55.3 in February, from an adjusted 56.4 in January.","U.S. industrial output rises for 21st month in a row in February, but at a slower pace than in January",0.8761723637580872,0.8217179179191589,0.8480719327926636
"Anti-terror plan faces first testPlans to allow Home Secretary Charles Clarke to place terror suspects under house arrest without trial are set for their first real test in Parliament.Tories, Lib Dems and some Labour MPs are poised to vote against the plans. Mr Clarke says the powers are needed to counter terror threats. Opponents say only judges, not politicians, should be able to order detention of UK citizens. The government is expected to win Wednesday's vote in the Commons, but faces a battle in the House of Lords.The Prevention of Terrorism Bill was published on Tuesday. It proposes ""control orders"", which would mean house arrest in the most serious cases, and curfews, electronic tagging and limits on telephone and internet access for other suspects.The two opposition parties are particularly worried that the control orders would initially be imposed on the say-so of the home secretary, rather than a judge. Tory shadow home secretary David Davis warned of the potential for miscarriages of justice, like the Guildford Four - for which Tony Blair recently apologised - as a result of the pressure on politicians to lock up terror suspects. ""Those pressures would be much more for a politician than they would on a judge and that's why we have serious concerns abut that approach,"" he told BBC Radio 4's Today programme.Mr Clarke says he does not intend to use the house arrest powers now - even for the 11 current terror detainees. He also said that any decision he made would be reviewed by a judge within seven days. The foreign terror suspects currently detained are mostly held at London's Belmarsh prison. They are held under laws which the Law Lords have ruled break human rights rules - and which are due to expire on 14 March.The new powers, designed to replace the existing laws and meet the Law Lords' concerns, would apply to British as well as foreign terror suspects. Critics say that giving politicians the power to deprive UK citizens of their freedom is the biggest attack on civil liberties for 300 years. Opposition MPs are also angry they will have only two days - Wednesday and next Monday - to debate the new plans before they pass to the House of Lords. But the government says the existing powers run out soon so must be replaced urgently.In a rare move, the Tories and Lib Dems have jointly tabled a motion opposing the new bill, saying the house arrest plans are ""excessive"". It argues decisions should be taken on a higher standard of proof and the plan ""wrongly infringes the right to liberty"" by failing to bring terrorists to trial where there is evidence. Mr Davis told Today: ""It gives a minister, for the first time in modern history, the right to detain without trial, without showing the evidence and indeed, in some respects, almost the allegation against the individual concerned.""He questioned why there was ""such a rush"" to introduce the legislation when Mr Clarke had indicated he was not planning to use the house arrest powers straight away. Liberal Democrat home affairs spokesman Mark Oaten said: ""We believe it should be the judge that takes decisions, not politicians."" Mr Clarke said the security services and police backed his measures and it would be ""rash and negligent"" to ignore their advice. Nobody should doubt that terrorists at home and abroad wanted to attack the UK and its interests, he argued.","Mr Clarke says he does not intend to use the house arrest powers now - even for the 11 current terror detainees.Plans to allow Home Secretary Charles Clarke to place terror suspects under house arrest without trial are set for their first real test in Parliament.Mr Clarke says the powers are needed to counter terror threats.He questioned why there was ""such a rush"" to introduce the legislation when Mr Clarke had indicated he was not planning to use the house arrest powers straight away.The new powers, designed to replace the existing laws and meet the Law Lords' concerns, would apply to British as well as foreign terror suspects.In a rare move, the Tories and Lib Dems have jointly tabled a motion opposing the new bill, saying the house arrest plans are ""excessive"".The two opposition parties are particularly worried that the control orders would initially be imposed on the say-so of the home secretary, rather than a judge.It proposes ""control orders"", which would mean house arrest in the most serious cases, and curfews, electronic tagging and limits on telephone and internet access for other suspects.Opposition MPs are also angry they will have only two days - Wednesday and next Monday - to debate the new plans before they pass to the House of Lords.Mr Clarke said the security services and police backed his measures and it would be ""rash and negligent"" to ignore their advice.",Home Secretary Charles Clarke says he doesn't plan to use the powers to detain terror suspects in the House of Lords,0.9167317152023315,0.8156757354736328,0.8632562756538391
"Barclays shares up on merger talkShares in UK banking group Barclays have risen on Monday following a weekend press report that it had held merger talks with US bank Wells Fargo.A tie-up between Barclays and California-based Wells Fargo would create the world's fourth biggest bank, valued at $180bn (£96bn). Barclays has declined to comment on the report in the Sunday Express, saying it does not respond to market speculation. The two banks reportedly held talks in October and November 2004.Barclays shares were up 8 pence, or 1.3%, at 605 pence by late morning in London on Monday, making it the second biggest gainer in the FTSE 100 index. UK banking icon Barclays was founded more than 300 years ago; it has operations in over 60 countries and employs 76,200 staff worldwide. Its North American divisions focus on business banking, whereas Wells Fargo operates retail and business banking services from 6,000 branches. In 2003, Barclays reported a 20% rise in pre-tax profits to £3.8bn, and it has recently forecast similar gains in 2004, predicting that full year pre-tax profits would rise 18% to £4.5bn. Wells Fargo had net income of $6.2bn in its last financial year, a 9% increase on the previous year, and revenues of $28.4bn. Barclays was the focus of takeover speculation in August, when it was linked to Citigroup, though no bid has ever materialised. Stock market traders were sceptical that the latest reports heralded a deal. ""The chief executive would be abandoning his duty if he didn't talk to rivals, but a deal doesn't seem likely,"" Reuters quoted one trader as saying.","Shares in UK banking group Barclays have risen on Monday following a weekend press report that it had held merger talks with US bank Wells Fargo.A tie-up between Barclays and California-based Wells Fargo would create the world's fourth biggest bank, valued at $180bn (£96bn).UK banking icon Barclays was founded more than 300 years ago; it has operations in over 60 countries and employs 76,200 staff worldwide.Barclays has declined to comment on the report in the Sunday Express, saying it does not respond to market speculation.In 2003, Barclays reported a 20% rise in pre-tax profits to £3.8bn, and it has recently forecast similar gains in 2004, predicting that full year pre-tax profits would rise 18% to £4.5bn.",Barclays shares rise after weekend report that it had held merger talks with US bank Wells Fargo - report reveals scepticism,0.9108492136001587,0.8124935626983643,0.8588647246360779
"Building giant in asbestos payoutAustralian building products group James Hardie has agreed to pay $1.1bn (£568m) to victims of asbestos-related diseases.The landmark deal could see thousands of people suffering from lung diseases - caused by asbestos the company once made - receive compensation. The move follows angry protests after the firm said a previous compensation fund was running out of money. A subsequent New South Wales state inquiry criticised Hardie's actions. In September, the inquiry found that the company had misled the public about the amount of money set aside to cover its asbestos-related liabilities, sparking the resignation of its then chief executive, Peter MacDonald.Campaigners welcomed news of the preliminary agreement. ""This is a momentous day in the fight for victims and their families,"" said asbestosis sufferer Bernie Banton, who leads a victims' association. ""There is still a long way to go, but we are getting there."" James Hardie chairwoman, Meredith Hellicar, said the deal provided for a funding arrangement ""that is affordable, sensible and workable"". ""At the end of the day we are dealing with compensation for people who are terminally ill. We don't know exactly how many of them there will be, we don't know over what exact period they will fall ill,"" she said. However, the deal still has to receive the approval of Hardie's shareholders.Hardie, which currently makes more than 80% of its revenues in the US, was once Australia's biggest supplier of asbestos building materials. In 2001, the company set up a fund to compensate asbestos victims, but it later admitted the fund was running short of money. A decision by Hardie to move its headquarters to the Netherlands - while remaining a listed company in Australia - provoked a damaging public outcry. Victims groups accusing it of trying to escape its responsibilities by moving abroad, a charge the company denies. Australia's securities watchdog is currently investigating Hardie's former chief executive and former chief financial officer over allegations of misleading investors and the general public.","In 2001, the company set up a fund to compensate asbestos victims, but it later admitted the fund was running short of money.The move follows angry protests after the firm said a previous compensation fund was running out of money.The landmark deal could see thousands of people suffering from lung diseases - caused by asbestos the company once made - receive compensation.However, the deal still has to receive the approval of Hardie's shareholders.In September, the inquiry found that the company had misled the public about the amount of money set aside to cover its asbestos-related liabilities, sparking the resignation of its then chief executive, Peter MacDonald.Hardie, which currently makes more than 80% of its revenues in the US, was once Australia's biggest supplier of asbestos building materials.Australian building products group James Hardie has agreed to pay $1.1bn (£568m) to victims of asbestos-related diseases.","Building giant James Hardie agrees to pay $1.1bn to asbestos-related diseases in landmark deal, a day after a state inquiry into the company",0.9130277037620544,0.8464189171791077,0.8784624338150024
"The 'ticking budget' facing the USThe budget proposals laid out by the administration of US President George W Bush are highly controversial. The Washington-based Economic Policy Institute, which tends to be critical of the President, looks at possible fault lines. US politicians and citizens of all political persuasions are in for a dose of shock therapy. Without major changes in current policies and political prejudices, the federal budget simply cannot hold together. News coverage of the Bush budget will be dominated by debates about spending cuts, but the fact is these will be large cuts in small programs. From the standpoint of the big fiscal trends, the cuts are gratuitous and the big budget train wreck is yet to come. Under direct threat will be the federal government's ability to make good on its debts to the Social Security Trust Fund. As soon as 2018, the fund will begin to require some cash returns on its bond holdings in order to finance all promised benefits.The trigger for the coming shock will be rising federal debt, which will grow in 10 years, by conservative estimates, to more than half the nation's total annual output.This upward trend will force increased borrowing by the federal government, putting upward pressure on interest rates faced by consumers and business. Even now, a growing share of US borrowing is from abroad. The US Government cannot finance its operations without heavy borrowing from the central banks of Japan and China, among other nations. This does not bode well for US influence in the world. The decline of the dollar is a warning sign that current economic trends cannot continue. The dollar is already sinking. Before too long, credit markets are likely to react, and interest rates will creep upwards. That will be the shock.Interest-sensitive industries will feel pain immediately - sectors such as housing, automobiles, other consumer durables, agriculture, and small business. Some will recall the news footage of angry farmers driving their heavy equipment around the US Capitol in the late 1970s. There will be no need for constitutional amendments to balance the budget. The public outcry will force Congress to act. Whether it will act wisely is another matter. How did this happen?By definition, the deficit means too little revenue and too much spending - but this neutral description doesn't adequately capture the current situation. Federal revenues are at 1950s levels, while spending remains where it has been in recent decades - much higher. In addition, the United States has two significant military missions. The Bush administration's chosen remedy is the least feasible one. Reducing domestic spending, or eliminating ""waste, fraud and abuse"" is toothless because this slice of the budget is too small to solve the problem. Indeed, if Congress were rash enough to balance the budget in this way, there would hardly be any such spending left. Law enforcement, space exploration, environmental clean-up, economic development, the Small Business Administration, housing, veterans' benefits, aid to state and local governments would all but disappear. It's fantasy to think these routine government functions could be slashed. The biggest spending growth areas are defence (including homeland security), and health care for the elderly and the poor. To some extent, increases in these areas are inevitable. The US population is aging, and the nation does face genuine threats in the world. But serious savings can only be found where the big money is. Savings in health care spending that do not come at the expense of health can only be achieved with wholesale reform of the entire system, public and private. Brute force budget cuts or spending caps would ill-serve the nation's elderly and indigent.On the revenue side, the lion's share of revenue lost to tax cuts enacted since 2000 will have to be replaced.Some rearranging could hold many people harmless and focus most of the pain on those with relatively high incomes. Finally, blind allegiance to a balanced budget will have to be abandoned. There is no good reason to fixate on it, anyway. Moderate deficits and slowly rising federal debt can be sustained indefinitely. Borrowing for investments in education and infrastructure that pay off in future years makes sense. The sooner we face that reality, the sooner workable reforms can be pursued. First on the list should be tax reform to raise revenue, simplify the tax code, and restore some fairness eroded by the Bush tax cuts. Second should be a dispassionate re-evaluation of the huge increase in defence spending over the past three years, much of it unrelated to Afghanistan, Iraq, or terrorism. Third must be the start of a serious debate on large-scale health care reform. One thing is certain - destroying the budget in order to save it is not going to equip the US economy and government for the challenges of this new century.","Brute force budget cuts or spending caps would ill-serve the nation's elderly and indigent.News coverage of the Bush budget will be dominated by debates about spending cuts, but the fact is these will be large cuts in small programs.Without major changes in current policies and political prejudices, the federal budget simply cannot hold together.The budget proposals laid out by the administration of US President George W Bush are highly controversial.Federal revenues are at 1950s levels, while spending remains where it has been in recent decades - much higher.Indeed, if Congress were rash enough to balance the budget in this way, there would hardly be any such spending left.The US Government cannot finance its operations without heavy borrowing from the central banks of Japan and China, among other nations.One thing is certain - destroying the budget in order to save it is not going to equip the US economy and government for the challenges of this new century.This upward trend will force increased borrowing by the federal government, putting upward pressure on interest rates faced by consumers and business.Reducing domestic spending, or eliminating ""waste, fraud and abuse"" is toothless because this slice of the budget is too small to solve the problem.The biggest spending growth areas are defence (including homeland security), and health care for the elderly and the poor.Savings in health care spending that do not come at the expense of health can only be achieved with wholesale reform of the entire system, public and private.Even now, a growing share of US borrowing is from abroad.US politicians and citizens of all political persuasions are in for a dose of shock therapy.Under direct threat will be the federal government's ability to make good on its debts to the Social Security Trust Fund.By definition, the deficit means too little revenue and too much spending - but this neutral description doesn't adequately capture the current situation.The trigger for the coming shock will be rising federal debt, which will grow in 10 years, by conservative estimates, to more than half the nation's total annual output.From the standpoint of the big fiscal trends, the cuts are gratuitous and the big budget train wreck is yet to come.The US population is aging, and the nation does face genuine threats in the world.There will be no need for constitutional amendments to balance the budget.","The 'ticking budget' facing the U.S. (11 minute read): The budget proposals laid out by the administration of US President George W Bush are highly controversial. The Washington-based Economic Policy Institute, which tends to be critical of the President, looks at possible fault lines. US politicians and citizens of all political persuasions are in for a dose of shock therapy. Without major changes in current policies and political prejudices, the federal budget simply cannot hold together. News coverage of the Bush budget will be dominated by debates about spending cuts, but the fact is these will be large cuts in small programs. From the standpoint of the big fiscal trends",0.9097285270690918,0.835456371307373,0.8710119724273682
"Mobiles 'not media players yet'Mobiles are not yet ready to be all-singing, all-dancing multimedia devices which will replace portable media players, say two reports.Despite moves to bring music download services to mobiles, people do not want to trade multimedia services with size and battery life, said Jupiter. A separate study by Gartner has also said real-time TV broadcasts to mobiles is ""unlikely"" in Europe until 2007. Technical issues and standards must be resolved first, said the report. Batteries already have to cope with other services that operators offer, like video playback, video messaging, megapixel cameras and games amongst others. Bringing music download services based on the success of computer-based download services will put more demands on battery life.Fifty percent of Europeans said the size of a mobile was the most important factor when it came to choosing their phone, but more power demands tend to mean larger handsets. ""Mobile phone music services must not be positioned to compete with the PC music experience as the handsets are not yet ready,"" said Thomas Husson, mobile analyst at Jupiter research. ""Mobile music services should be new and different, and enable operators to differentiate their brands and support third generation network launches."" Other problems facing mobile music include limited storage on phones, compared to portable players which can hold up to 40GB of music. The mobile industry is keen to get into music downloading, after the success of Apple's iTunes, Napster and other net music download services.With phones getting smarter and more powerful, there are also demands to be able to watch TV on the move. In the US, services like TiVo To Go let people transfer pre-recorded TV content onto their phones. But, the Gartner report on mobile TV broadcasting in Europe suggests direct broadcasting will have to wait. Currently, TV-like services, where clips are downloaded, are offered by several European operators, like Italy's TIM and 3. Mobile TV will have to overcome several barriers before it is widely taken up though, said the report.Various standards and ways of getting TV signals to mobiles are being worked on globally. In Europe, trials in Berlin and Helsinki are making use of terrestrial TV masts to broadcast compressed signals to handsets with extra receivers. A service from the Norwegian Broadcasting Corporation lets people watch TV programmes on their mobiles 24 hours a day. The service uses 3GP technology, one of the standards for mobile TV. But at the end of 2004, the European Telecommunications Institute (Etsi) formally adopted Digital Video Broadcasting Handheld (DVB-H) as the mobile TV broadcasting standard for Europe. Operators will be working on the standard as a way to bring real-time broadcasts to mobiles, as well as trying to overcome several other barriers. The cost and infrastructure needs to set up the services will need to be addressed. Handsets also need to be able to work with the DVB-H standard. TV services will have to live up to the expectations of the digital TV generation too, which expects good quality images at low prices, according to analysts. People are also likely to be put off watching TV on such small screens, said Gartner. Digital video recorders, like Europe's Sky+ box, and video-on-demand services mean people have much more control over what TV they watch. As a result, people may see broadcasting straight to mobiles as taking away that control. More powerful smartphones like the XDA II, Nokia 6600, SonyEricsson P900 and the Orange E200, offering web access, text and multimedia messaging, e-mail, calendar and gaming are becoming increasingly common. A report by analysts InStat/MDR has predicted that smartphone shipments will grow by 44% over the next five years. It says that smartphones will make up 117 million out of 833 million handsets shipped globally by 2009.","The service uses 3GP technology, one of the standards for mobile TV.A service from the Norwegian Broadcasting Corporation lets people watch TV programmes on their mobiles 24 hours a day.""Mobile phone music services must not be positioned to compete with the PC music experience as the handsets are not yet ready,"" said Thomas Husson, mobile analyst at Jupiter research.A separate study by Gartner has also said real-time TV broadcasts to mobiles is ""unlikely"" in Europe until 2007.Mobile TV will have to overcome several barriers before it is widely taken up though, said the report.Despite moves to bring music download services to mobiles, people do not want to trade multimedia services with size and battery life, said Jupiter.Various standards and ways of getting TV signals to mobiles are being worked on globally.But, the Gartner report on mobile TV broadcasting in Europe suggests direct broadcasting will have to wait.But at the end of 2004, the European Telecommunications Institute (Etsi) formally adopted Digital Video Broadcasting Handheld (DVB-H) as the mobile TV broadcasting standard for Europe.Digital video recorders, like Europe's Sky+ box, and video-on-demand services mean people have much more control over what TV they watch.In the US, services like TiVo To Go let people transfer pre-recorded TV content onto their phones.People are also likely to be put off watching TV on such small screens, said Gartner.TV services will have to live up to the expectations of the digital TV generation too, which expects good quality images at low prices, according to analysts.","Mobiles are not yet ready to be all-singing, all-dancing multimedia devices which will replace portable media players, say two reports",0.8582139015197754,0.8029540777206421,0.8296648263931274
"Low-cost airlines hit EurotunnelChannel Tunnel operator Eurotunnel has seen sales fall in the face of the upsurge in European low-cost airlines.The firm said sales were down 4% in 2004 to 789m euros ($1.03bn; £548m). ""The impact of the development of no-frills airlines is being felt ever more strongly,"" said chief executive Jean-Louis Raymond. Income from its vehicle-carrying shuttle services fell 7%, although 15% more passengers meant a 2% rise in railway revenue.The cross-Channel truck market is improving, Eurotunnel said, but warned that it was not benefiting since much of the traffic was in containers destined for ports. The passenger-only trains which use the tunnel are run by a separate company, Eurostar.Eurotunnel is still struggling with debts of more than 6bn euros. The company is currently kept afloat by the 200-plus banks to whom it owes the money. A shareholder revolt threw out the old board in 2004. But the BBC's business editor, Jeff Randall, said the banks could yet step in and take over altogether. ""At the moment it can't even service the interest on its debt,"" he said. ""This is a company in the departure lounge of life.""","The firm said sales were down 4% in 2004 to 789m euros ($1.03bn; £548m).""At the moment it can't even service the interest on its debt,"" he said.Eurotunnel is still struggling with debts of more than 6bn euros.But the BBC's business editor, Jeff Randall, said the banks could yet step in and take over altogether.The cross-Channel truck market is improving, Eurotunnel said, but warned that it was not benefiting since much of the traffic was in containers destined for ports.","Low-cost airlines hit EurotunnelChannel Tunnel, boss says 'the impact of the development of no-frills airlines'",0.8462478518486023,0.7997987866401672,0.8223679661750793
"UK gets official virus alert siteA rapid alerting service that tells home computer users about serious internet security problems is being launched by the UK government.The service, IT Safe, will issue warnings about damaging viruses, software vulnerabilities and weaknesses on devices such as mobile phones. Alerts tell people how the threats affect them and what they can do to avoid trouble and protect themselves. The service will be free and those who sign up can get e-mail or text alerts. The scheme is aimed at home users and small businesses. The government estimates it will issue security alerts about six to 10 times a year, based on previous experience of virus outbreaks. ""There is a clear need for easy-to-understand and simple independent advice for non-technically minded people who use computers either at home or at work,"" said Home Office Minister Hazel Blears. ""The purpose of this new government service is to ensure computer users are aware of the risks involved and how to deal with them easily and effectively without causing alarm."" Those signing up will only be told about the most serious security threats that have the potential to affect millions of people.Full-time staff are being employed to comb through the many hundreds of alerts issued each year by computer security firms to spot which ones have the potential to catch out a large number of people Between alerts the service will occasionally send messages giving people advice about safe ways to use their computers and phones. ""IT Safe will take our technical expertise and use it to help home users understand the risks and keep their computer systems, mobile phones and a range of related consumer electronic items, safe,"" said Roger Cumming, director of the National Infrastructure Security Coordination Centre (NISCC).The NISCC, which is running the service, also stressed that those signing up would still need to use anti-virus software, firewalls, and software updates to stay secure. Warnings about security problems will tell people what the problem is, how it affects them and what they can do to avoid trouble. Alerts will not be issued unless users can do something to protect themselves against the threat. This might include downloading an update from an anti-virus vendor or updating software to close loopholes and fix vulnerabilities. However no software patches or programs will actually be dispensed through the site. The alerts will tell people how to go about getting hold of patches from security firms. The NISCC spokesman said the site and alerting service would stay in existence for as long as there were security bugs on home computers and other gadgets.Government statistics show that more than half of all UK households own a home computer. It was estimated that almost 13 million of these were able to access the internet in 2004. The launch comes as the number of viruses and other malicious programs in existence is reaching unprecedented numbers. In September 2004, the number of malicious programs circulating topped the 100,000 mark. Some fear that this figure could hit 150,000 by September 2005. The creation of the national alert service follows similar efforts in the Netherlands and US. The National Alerting Service for the Netherlands (aka De Waarschuwingsdienst) and the US National Cyber Alerting Service also tell citizens of serious security threats.","A rapid alerting service that tells home computer users about serious internet security problems is being launched by the UK government.The NISCC spokesman said the site and alerting service would stay in existence for as long as there were security bugs on home computers and other gadgets.Full-time staff are being employed to comb through the many hundreds of alerts issued each year by computer security firms to spot which ones have the potential to catch out a large number of people Between alerts the service will occasionally send messages giving people advice about safe ways to use their computers and phones.The National Alerting Service for the Netherlands (aka De Waarschuwingsdienst) and the US National Cyber Alerting Service also tell citizens of serious security threats.Those signing up will only be told about the most serious security threats that have the potential to affect millions of people.Alerts tell people how the threats affect them and what they can do to avoid trouble and protect themselves.The alerts will tell people how to go about getting hold of patches from security firms.Warnings about security problems will tell people what the problem is, how it affects them and what they can do to avoid trouble.""IT Safe will take our technical expertise and use it to help home users understand the risks and keep their computer systems, mobile phones and a range of related consumer electronic items, safe,"" said Roger Cumming, director of the National Infrastructure Security Coordination Centre (NISCC).The NISCC, which is running the service, also stressed that those signing up would still need to use anti-virus software, firewalls, and software updates to stay secure.","UK launches official virus alerting service to warn home users about serious internet security problems, says Home Office minister : ‘There is a clear need for easy-to-understand’",0.874276340007782,0.8114039897918701,0.8416675925254822
"Millions buy MP3 players in USOne in 10 adult Americans - equivalent to 22 million people - owns an MP3 player, according to a survey.A study by the Pew Internet and American Life Project found that MP3 players are the gadget of choice among affluent young Americans. The survey did not interview teenagers but it is likely that millions of under-18s also have MP3 players. The American love affair with digital music players has been made possible as more and more homes get broadband.Of the 22 million Americans who own MP3 players, 59% are men compared to 41% of women. Those on high income - judged to be $75,000 (£39,000) or above - are four times more likely to have players than those earning less than $30, 000 ( £15,000). Broadband access plays a big part in ownership too. Almost a quarter of those with broadband at home have players, compared to 9% of those who have dial-up access. MP3 players are still the gadget of choice for younger adults. Almost one in five US citizens aged under 30 have one. This compares to 14% of those aged 30-39 and 14% of those aged 40-48. The influence of children also plays a part. Sixteen percent of parents living with children under 18 have digital players compared to 9% of those who don't. The ease of use and growth of music available on the net are the main factors for the upsurge in ownership, the survey found. People are beginning to use them as instruments of social activity - sharing songs and taking part in podcasting - the survey found. ""IPods and MP3 players are becoming a mainstream technology for consumers"" said Lee Rainie, director of the Pew Internet and American Life Project. ""More growth in the market is inevitable as new devices become available, as new players enter the market, and as new social uses for iPods/MP3 players become popular,"" he added.","One in 10 adult Americans - equivalent to 22 million people - owns an MP3 player, according to a survey.A study by the Pew Internet and American Life Project found that MP3 players are the gadget of choice among affluent young Americans.The survey did not interview teenagers but it is likely that millions of under-18s also have MP3 players.MP3 players are still the gadget of choice for younger adults.Of the 22 million Americans who own MP3 players, 59% are men compared to 41% of women.""IPods and MP3 players are becoming a mainstream technology for consumers"" said Lee Rainie, director of the Pew Internet and American Life Project.The American love affair with digital music players has been made possible as more and more homes get broadband.",Millions buy MP3 players in U.S. - survey says affluent young Americans are the most likely to own them,0.9019747376441956,0.828172504901886,0.8634995222091675
