title,text,label,num_tokens,bart_summarize
WHY THESE TWO “TOP TIER” GOP CANDIDATES Were Axed From FOX News Presidential Debate,"We can think of two candidates who have no business being on that stage. We d love to know who made this decision They ll be fewer candidates on the main stage at next week s Fox Business Network Republican debate in Milwaukee as both Chris Christie and Mike Huckabee have been told to take their seats at the kids  table.That leaves just eight candidates on the main stage   including frontrunners Donald Trump and Ben Carson, and also Sen. Rand Paul, who many predicted would suffer Christie s undercard debate fate.Next week s undercard debate will again feature four candidates   but with the addition of Christie and Huckabee, that means Lindsey Graham and George Pataki both got pushed out.The debate line-up was announced tonight on Lou Dobbs  show on Fox Business Network.Besides Trump, Carson and Paul, Sens. Ted Cruz and Marco Rubio, Govs. Jeb Bush and John Kasich and business executive Carly Fiorina round out the line-up.For the undercard debate, Bobby Jindal and Rick Santorum remain in their places on stage.So far only one candidate has managed to climb out of the undercard debates, Fiorina, who spent the August Fox News debate at the kids  table and was hoisted onto the mainstage by CNN, after the network tinkered with its rules.One undercard candidate dropped out, Texas Gov. Rick Perry, who was the first candidate to pull the plug on his 2016 ambitions having only appeared at the Fox News undercard debate.Since CNN s September debate in Simi Valley, California, the junior varsity squad has had the same roster: Graham, Santorum, Jindal and Pataki. Via: UK Daily Mail ",fake,337,The debate line-up was announced tonight on Lou Dobbs  show on Fox Business Network. That leaves just eight candidates on the main stage including frontrunners Donald Trump and Ben Carson. Lindsey Graham and George Pataki both got pushed out.
 BREAKING: Trump Buildings Go On Lockdown As THOUSANDS Protest Trump’s Electoral Victory (VIDEOS),"Across the nation, thousands of upset American citizens are protesting Donald Trump s victory in the 2016 presidential election. Despite losing the popular vote, the deeply disliked candidate is poised to be the next President of the United States, and people aren t happy. Security teams and barricades have been deployed at various Trump properties as fear of damage escalates. Hundreds of people have gathered outside of his Chicago and New York buildings, and protests are happening in major cities from Oregon to Massechusetts.Dozens of other protests have also happened, centered at universities around the nation.Flags have been reported to be burned during protests in Portland, Oregon, with protestors marching and chanting  fuck Donald Trump!  The Mirror reports that  People also burned an effigy of the President-elect, who will be officially sworn into office in January. As they go on to report, the protests aren t just domestic   hundreds also gathered to protest the American embassy in London, as further evidence of the divide we have driven between us and our allies with this disasterous election.In Chicago, New York, DC, San Francisco, Seattle, Oakland, Philadelphia and elsewhere, live protests are happening right now. Various clips can be seen below.Trump Tower:San Francisco:Protestors chanting:  Racist, sexist, anti-gay, Donald Trump go away  pic.twitter.com/6PQu5waZ0p  Nicole Nguyen (@itsnicolenguyen) November 10, 2016DC:Right now at the Trump Hotel in our Nation s capital. Shame on him. #election2016 #werestillwithher pic.twitter.com/pS6svMHPR3  daphne kiplinger (@daphnekiplinger) November 10, 2016The Guardian has live updates on the ongoing protests, and this article will be updated periodically.Featured image by Spencer Platt/Getty Images",fake,389,"Thousands of upset American citizens are protesting Donald Trump s victory in the 2016 presidential election. Hundreds of people have gathered outside of his Chicago and New York buildings, and protests are happening in major cities from Oregon to Massechusetts. Security teams and barricades have been deployed at various Trump properties as fear of damage escalates."
REVEALED: HOW BARACK OBAMA IS FUNDING The “Resistance” Movement Against President Trump,"Wall Street might be shocked to learn it is helping bankroll the anti-Trump  resistance  movement that s aggressively fighting policies it favors   including corporate tax cuts and the repeal of Obama-era banking and health-care regulations.The payola is potentially earmarked for third-party interest groups approved by the Justice Department and HUD without requiring any proof of how the funds will be spent. Many of the recipients so far are radical leftist organizations who solicited the settlement cash from the administration even though they were not parties to the lawsuits, records show. During the Obama administration, groups committed to  revolutionary social change  sent proposals and met with high-level HUD and Justice Department officials to try to get their pieces of the settlement pie,  Cause of Action Institute vice president Julie Smith told The Post.Some of the chosen beneficiaries are now actively militating against the Trump administration and its policies, including:The Hispanic-rights group strenuously protested the Republican-led  skinny  repeal of the Affordable Care Act after receiving at least $1.5 million from the Obama regime s bank settlement funds, congressional researchers say.La Raza works closely with the Congressional Hispanic Caucus and has teamed up with the anti-Trump resistance group, Indivisible, which was co-founded by La Raza alumnus Angel Padilla. Indivisible is working with La Raza and its affiliates to make sure  any bill that punishes sanctuary cities never goes to Trump s desk to become law.  They are encouraging activists to send postcards with pre-printed messages on immigration and health care to moderate GOP senators.NATIONAL URBAN LEAGUEAfter receiving at least $1.2 million from the bank-settlement slush fund, the African-American advocacy group solicited its supporters to oppose efforts to repeal ObamaCare by signing a letter to senators arguing  African-Americans stand to be disproportionately impacted.  It claimed more than 5 million black people would lose coverage under repeal legislation.NATIONAL COMMUNITY REINVESTMENT COALITIONSince hauling in at least $2.6 million in funds under settlement in the Obama-era mortgage suits, the liberal housing-rights group has slammed tax-reform proposals by the Trump administration as unfair, while trying to block efforts to privatize mortgage giants Fannie Mae and Freddie Mac, claiming doing so would  deepen the racial wealth gap. NCRC is also actively lobbying against regulatory repeal of many provisions of the Dodd-Frank Wall Street Reform and Consumer Protection Act.The Washington-based group boasts more than 600 member organizations who lobby lawmakers through list-serves, mailings, sign-on letters and conference calls. Though it s assumed that funds distributed to such  qualified organizations  will be used for housing assistance, the bank-settlement agreements do not enforce how the funds are spent. It stands to reason that some of the settlement funds have helped bankroll the resistance  bent on stopping the Trump agenda for America, Competitive Enterprise Institute senior fellow John Berlau said.It s not clear how much money, in all, has been diverted from settlement funds to these and other left-wing organizations. Attorney General Jeff Sessions has ordered a full audit of the funds while discontinuing the practice of funneling Justice Department settlements to third-party groups. Any settlement funds should go first to the victims and then to the American people [through the US Treasury]   not to bankroll third-party special interest groups or the political friends of whoever is in power,  Sessions said in a recent statement.Still, The Post has learned that the Consumer Financial Protection Bureau continues to force financial institutions it prosecutes to donate to third-party community organizers. More, penalties in such cases are deposited into the Bureau s now-$170 million-plus Civil Penalty Fund, which has, in turn, channeled almost $30 million to  consumer advocacy  groups.For entire story: NYP ",fake,795,Payola is potentially earmarked for third-party interest groups approved by the Justice Department and HUD. Many of the recipients so far are radical leftist organizations who solicited the settlement cash from the administration.
" STUPID Trump Fans Think He Won The Popular Vote, But He Lost By A HUGE Margin (TWEETS)","As we unfortunately learned during the presidential campaign, Donald Trump s biggest fans love to tell themselves HUGE lies, and then they pass those lies back and forth to each other and actually believe them, no matter how insane those lies happen to be.The biggest one to hit since Election Day is the complete and utter lie that Trump won the popular vote in addition to his electoral college win. Check out some of the Trump supporters who are fooling themselves:Final #Election2016 Results By Numbers:-  #PopularVote #electoralvotes pic.twitter.com/uKZevQvPfK  Michael (@Koxinga8) November 12, 2016Final #Election2016 numbers #PopularVote:#Trump: 62,972,226 #Clinton: 62,277,750 #ElectoralCollege vote #Trump 306 #Clinton 232  Lucid Hurricane  (@LucidHuricane) November 12, 2016Trump won the popular vote too. Now the liberals have nothing to cry about (they will anyways.) #TrumpRiotsDonate @ https://t.co/AGuHKH0S7K pic.twitter.com/71eIwMjtOA  Bikers 4 Trump (@Bikers4Trump) November 12, 2016Sorry libs! Trump just won the popular vote and the electoral vote after the recounts! https://t.co/vKIev9ltmx #TrumpRiots #TrumpRevolution pic.twitter.com/LIytjEQ6BB  Lori Hendry (@Lrihendry) November 12, 2016But in reality, despite losing the electoral college, Hillary Clinton will have a substantial popular vote win over Trump when all the votes are eventually counted.Hillary Clinton not only won the popular vote in Tuesday s election. It is now clear that she won it by a margin larger than two candidates who went on to win the presidency.David Leonhardt, a columnist for The New York Times, noted on Friday that with a 1.7-percentage-point popular vote lead over Donald Trump,Clinton will have a larger margin of victory than Richard Nixon had over Hubert Humphrey in 1968 or John F. Kennedy had over Nixon in 1960. (Her edge is also larger than Al Gore s popular vote victory over George W. Bush in 2000, though he too was stymied by an electoral college loss.)In raw numbers, that amounts to an edge of roughly 1.8 million votes as of Saturday.The election is decided by the electoral college, not the popular vote, so Trump will be sworn in to the presidency. But it s telling that even in victory, Trump s supporters must lie to themselves and each other with these completely made up stories. It shows that, despite the claim that the left is in a  bubble  on the coasts, the Trump supporters are the ones who have sealed themselves off from the real world where 2 is always bigger than 1.Featured image via Flickr",fake,603,"Donald Trump supporters love to tell themselves lies, and then they pass those lies back and forth to each other and actually believe them. The biggest one to hit since Election Day is the complete and utter lie that Trump won the popular vote in addition to his electoral college win. But in reality, despite losing the electoral college, Hillary Clinton will have a substantial popular vote win over Trump when all the votes are eventually counted."
 Trump’s National Security Adviser Thinks Obama Was Right About Terrorism All Along,"Donald Trump s new national security adviser thinks former-President Obama was right all along, at least when it comes to his stance on terrorism.HR McMaster, the respected army lieutenant general Trump chose to replace Michael Flynn after he resigned, told White House staff at a meeting on Thursday that he does not want to use the term radical Islamic terrorism.  You know, what Obama has been saying for years.The Guardian reports: A participant, paraphrasing McMaster, said:  He said he doesn t want to call it radical Islamic terrorism because the terrorists are, quote,  un-Islamic . McMaster, the participant said, indicated that the phrase castigates  an entire religion  and  he s not on board .At the meeting, multiple sources said, McMaster discomfited White House staffers who view the terrorist threat in those religious terms and who were said to have exchanged awkward looks with each other.Participants who attended the meeting said they were shocked by how different McMaster s views are from those of Trump, who has dropped the phrase  radical Islamic terrorism  at any chance he got.During the meeting, McMaster also let it be known that he disagrees with Trump on several other points as well. He reportedly  laid out a vigorous defense of the post-second world war liberal order, calling it a guarantor of peace and economic prosperity.  Trump, on the other hand, has attacked these same longstanding foreign-policy goals repeatedly.McMaster also took a stance on Russia that is the polar opposite of his Putin loving boss.  One source said McMaster was  very clear  that he viewed Russia  as an adversary,'  the Guardian reports.Trump chose McMaster as his new national security adviser after Flynn was forced to resign when it was revealed that he had told the Russian ambassador not to worry about sanctions during a phone call that took place before Trump was sworn in.Thanks to Trump s Islamophobic policies, at least one prominent NSC staffer has already resigned. Rumana Ahmed, who worked on strategic communications, stepped down after Trump issued his Muslim ban. She said his  radical Islamic terrorism  rhetoric is really no different from the rhetoric of ISIS.Many who attended the meeting were relieved that McMasters doesn t seem to be a complete crazy person when it comes to foreign policy, but they have no idea how that will  work in context with the rest of the White House .Featured image via video screen capture",fake,489,"HR McMaster, the respected army lieutenant general Trump chose to replace Michael Flynn after he resigned, told White House staff at a meeting on Thursday that he does not want to use the term radical Islamic terrorism. McMaster also laid out a vigorous defense of the post-second world war liberal order, calling it a guarantor of peace and economic prosperity."
"IF JOE BIDEN DECIDES TO RUN FOR PRESIDENT, THIS VIDEO SHOULD BE MANDATORY VIEWING",Here s Biden chuckling and grinning while debating the Iran sanctions   the arrogance runs deep on this one. ,fake,25,The arrogance runs deep on this one. Biden chuckling and grinning while debating the Iran sanctions.
 That Time An Ohio Ammosexual 2nd Amendmented Himself In A Chik-Fil-A Bathroom,"Ammosexuals also tend to be anti-gay bigots, so it s no surprise that this particular unfortunate victim of his own love of his penis extension gun would shoot himself in the bathroom of a Chik-fil-A location.While most of us boycott the Christian chicken chain out of sheer principle, but not the 45-year-old victim of his own hubris. He was apparently pulling up his pants in the facilities of the locations (hey, even gun nut heroes have to use the john now and then, right?) when the Glock pistol went off. Luckily for the unnamed miscreant, the bullet only grazed his leg. Hardly a fatal injury, of course, but still quite unfortunate and dangerous.Local station WHOH tweeted the story, but, at this time, there is not much information. The victim was able walk out of the Chik-Fil-A location and transport himself to a local hospital for medical care. The injury is not serious, and, of course, no charges will be filed.BREAKING: Fairfield Twp police and medics say a man accidentally shot himself in the bathroom of the Chick-fil-a. pic.twitter.com/GwXHFz12MI  WMOH Newswire (@WMOHNEWSWIRE) April 28, 2015That s the real rub, though. This guy luckily only shot himself. However, how many incidences have there been of  responsible gun owners  injuring or even killing other people where the law decides that it was just an accident? Too many to count, really. This is just evidence of the fact that we need tighter laws regarding firearm ownership. Not everyone who is eligible to buy, own, and conceal carry a gun should be able to do so.This guy likely was another nutjob who couldn t bear to be anything but fully locked and loaded, even in a public restroom in a self-proclaimed family restaurant, and he was injured as a result. What about next time, though? And, believe me, there will be a next time. No one who is irresponsible enough to have an  accident  like this is a one-off shooter. In fact, if  he were any sort of normal, responsible gun owner, he d have never been pulling his pants up in a Chik-Fil-A bathroom with a fully loaded gun in the first place.Featured image via video screen capture from NY Daily News",fake,500,"A 45-year-old man accidentally shot himself in the bathroom of a Chik-Fil-A. The bullet only grazed his leg, and he was able to walk out of the restaurant and go to a local hospital for medical care. The injury is not serious, and, of course, no charges will be filed."
false flag us intelligence warns of likely al qaeda terror attack day before election,by amanda froelich by  the worlds population is estimated to reach  billion people already  million people go to bed hungry each evening,fake,30, worlds population is estimated to reach  billion people already  million people go to bed hungry each evening.
 This Writer HILARIOUSLY Pranked Trump After Tricking The GOP Candidate Into Following Him (TWEETS),"Hillary Clinton often talks about how Donald Trump can be baited with a tweet, and thus he s ill-suited to be President of the United States because he can t be trusted with his Twitter account, let alone the nuclear codes.One Twitter user just tested this theory, and the results were absolutely hilarious.Eric Curtin, otherwise known as  @dubsteps4dads  on Twitter, is a self-described  writer for things  and to the rest of us, he s a f*cking genius.He recently tweeted out this series of images that shows his brilliant level of trolling. And who did he troll? None other than Republican presidential nominee, Donald J. Trump.Trump doesn t follow many people at all on Twitter, but when Curtin tweeted @realDonaldTrump   follow me back so I can DM i have important info about hillary  the GOP nominee quickly took the bait and followed him back.What happened next is pure comedy genius.First, came the initial invitation to Trump:Then came the follow by Trump:Followed by the direct message to Trump: Then the immediate block by Trump:Curtin then tweeted out a wrap-up of all that transpired with the simple caption: life comes at you fast. life comes at you fast pic.twitter.com/eh48IXb3nP  spooky turtle (@dubstep4dads) October 23, 2016I don t know about you, but that s pretty damn hilarious. Not only that, it proves Hillary correct that Trump can very easily be baited with a tweet. He s also apparently extremely desperate for dirt on Hillary because he followed back a random Twitter account.This is yet another reason Trump can t be allowed anywhere near the Oval Office.Featured Photo by Scott Olson, Frederick M. Brown/Getty Images   Twitter",fake,374,"Eric Curtin, otherwise known as @dubsteps4dads on Twitter, is a self-described writer for things. He recently tweeted out this series of images that shows his brilliant level of trolling. And who did he troll? None other than Republican presidential nominee, Donald J. Trump."
" White Supremacist Conservatives Cheer ‘Hail Trump, Hail Victory,’ Perform Nazi Salute","The benignly-named National Policy Institute held a meeting on Saturday, where 200 white nationalists and neo-Nazi types gathered to celebrate pushing extreme racism and anti-Semitism back into the mainstream courtesy of Donald Trump s elevation. Richard Spencer, NPI s leader, actually greeted them by shouting,  Hail Trump, hail our people, hail victory! And the people cheered while raising their arms in the Nazi salute.Spencer is the person who coined the term  alt-right  to make his fascist movement sound more palatable, but it doesn t change who they are. These are people who share Spencer s dream of an  ethno-state that would be a gathering point for all Europeans,  meaning all white people who aren t Jewish. They re looking to restore purity to the  superior  white race.NPI s agenda for the conference included topics like,  Trump and the New White Voter,   The Future of the Alt-Right,  and  America and the Jewish Consciousness,  and the meeting was more heavily attended this year than it has been in years past. Spencer s opening remarks included: An awakening among everyone has occurred with this Trump election. We re not quite the establishment now, but I think we should start acting like it. Yes. Trump is their Hitler. Pretty much literally at this point.Anybody who doesn t find this terrifying ought to, because pushing Nazi ideology into the mainstream and into Trump s administration brings us way too close to the very thing that Republicans feared the most until this year: Horrific, fascist dictatorship. This isn t the America we re supposed to be.But it s the America that these people want, and, as the Holocaust showed us 80 years ago, people who think this way will do anything to achieve it.Spencer and his racist and anti-Semitic followers believe that the U.S. originally belonged to white Christians only, and they want to push us back there. That means widespread deportation of anyone who isn t  white enough,  and possibly worse. Given that the administration is actually, really discussing a registry for Muslims that could lead to internment, the idea that they can influence Trump against other groups, too, isn t all that far-fetched anymore.And the rise of hate incidents and crimes against anyone who isn t white serves as further evidence that these Nazi-types feel they ve been vindicated because of Trump s election.Haaretz reporter Peter Beinart called these  interesting times  on Twitter, as he watched Spencer spew anti-Semitic and racist rhetoric while waiting to pick up his son at a Jewish school. Interesting? Hardly. Downright frightening is more like it.Featured image via screen capture",fake,551,"200 white nationalists and neo-Nazi types gathered to celebrate pushing extreme racism and anti-Semitism back into the mainstream. Richard Spencer, NPI s leader, actually greeted them by shouting,  Hail Trump, hail our people, hail victory!"
